prefix,pred,count
 rdf,type                                       ,8316223
 prov,wasAssociatedWith                                           ,4689700
 prov,startedAtTime                                               ,4689238
 prov,endedAtTime                                                 ,4688276
 cpmeta,wasPerformedWith                             ,2428066
 cpmeta,hasName                                      ,2348801
 cpmeta,wasSubmittedBy                               ,2346277
 cpmeta,hasSha256sum                                 ,2346277
 cpmeta,hasObjectSpec                                ,2345839
 cpmeta,hasSizeInBytes                               ,2345400
 cpmeta,wasAcquiredBy                                ,2343423
 cpmeta,hasEndTime                                   ,1252522
 cpmeta,hasNumberOfRows                              ,1250700
 cpmeta,wasProducedBy                                ,1248515
 cpmeta,wasPerformedBy                               ,1248515
 cpmeta,hasSamplingHeight                            ,1114579
 cpmeta,wasHostedBy                                  ,1113735
 cpmeta,isNextVersionOf                              , 880739
 cpmeta,wasParticipatedInBy                          , 641499
 cpmeta,hasActualColumnNames                         , 269398
 rdfs,comment                                          , 142487
 terms,hasPart                                                      ,  18175
 prov,hadPrimarySource                                            ,  18047
 rdfs,label                                            ,  10559
 cpmeta,hasStartTime                                 ,   7824
 dcat,theme                                                       ,   7258
 cpmeta,hasSpatialCoverage                           ,   6555
 cpmeta,atOrganization                               ,   5970
 cpmeta,hasKeywords                                  ,   5563
 cpmeta,hasActualVariable                            ,   4957
 cpmeta,hasDoi                                       ,   4902
 cpmeta,hasLatitude                                  ,   4886
 cpmeta,hasLongitude                                 ,   4886
 cpmeta,hasSerialNumber                              ,   4825
 cpmeta,hasModel                                     ,   4825
 cpmeta,hasMaxValue                                  ,   4816
 cpmeta,hasMinValue                                  ,   4816
 terms,title                                                        ,   4781
 cpmeta,hasVendor                                    ,   4762
 terms,description                                                  ,   4712
 cpmeta,hasEtcId                                     ,   4469
 cpres,wdcgg/OBSERVATION%20CATEGORY                         ,   4259
 cpres,wdcgg/SAMPLING%20TYPE                                ,   4259
 cpres,wdcgg/TIME%20INTERVAL                                ,   4259
 cpres,wdcgg/MEASUREMENT%20UNIT                             ,   4259
 cpres,wdcgg/MEASUREMENT%20SCALE                            ,   4259
 cpres,wdcgg/MEASUREMENT%20METHOD                           ,   4259
 cpres,wdcgg/CONTRIBUTOR                                    ,   4259
 cpres,wdcgg/CONTACT%20POINT                                ,   4259
 cpres,wdcgg/PARAMETER                                      ,   4259
 cpmeta,asGeoJSON                                    ,   4258
 cpmeta,hasVariableName                              ,   4094
 w3ssn,/hasDeployment                                                ,   4094
 w3ssn,/forProperty                                                  ,   4038
 cpmeta,hasTemporalResolution                        ,   2617
 cpfiles,hasType                                                  ,   2480
 cpfiles,hasName                                                  ,   2480
 cpstation,hasAssociatedFile                      ,   2098
 cpmeta,hasRole                                      ,   1881
 cpmeta,wasPerformedAt                               ,   1878
 cpmeta,hasMembership                                ,   1799
 rdf,_2                                         ,   1649
 rdf,_1                                         ,   1649
 cpmeta,hasSamplingPoint                             ,   1598
 cpmeta,hasAtcId                                     ,   1515
 rdf,_3                                         ,   1214
 cpmeta,hasInstrumentOwner                           ,   1209
 cpmeta,hasFirstName                                 ,   1144
 cpmeta,hasLastName                                  ,   1144
 cpmeta,hasInstrumentComponent                       ,   1095
 terms,creator                                                      ,   1083
 rdf,_4                                         ,   1044
 rdfs,seeAlso                                          ,   1016
 cpmeta,hasEmail                                     ,    963
 terms,license                                                      ,    899
 dcat,distribution                                                ,    894
 dcat,accessURL                                                   ,    894
 dcat,endDate                                                     ,    893
 dcat,byteSize                                                    ,    893
 terms,modified                                                     ,    893
 dcat,dataset                                                     ,    893
 terms,issued                                                       ,    893
 purl-elements,/type                                                  ,    893
 owl,sameAs                                                  ,    893
 dcat,startDate                                                   ,    893
 dcat,landingPage                                                 ,    893
 prov,wasAttributedTo                                             ,    893
 terms,temporal                                                     ,    893
 dcat,downloadURL                                                 ,    893
 rdf,_5                                         ,    747
 cpmeta,hasColumn                                    ,    665
 rdf,_6                                         ,    632
 rdf,_7                                         ,    596
 cpmeta,hasAttributionWeight                         ,    523
 cpmeta,hasValueType                                 ,    495
 rdf,_8                                         ,    494
 cpmeta,hasColumnTitle                               ,    420
 cpmeta,hasValueFormat                               ,    419
 cpmeta,countryCode                                  ,    414
 cpmeta,hasStationId                                 ,    414
 cpmeta,hasOrcidId                                   ,    395
 cpmeta,hasEcosystemType                             ,    383
 cpmeta,hasElevation                                 ,    359
 cpstation,hasLat                                 ,    339
 cpstation,hasLon                                 ,    338
 cpmeta,hasOtcId                                     ,    333
 cpmeta,hasTimeZoneOffset                            ,    333
 otcmeta,hasName                                     ,    317
 cpmeta,hasWesternBound                              ,    299
 cpmeta,hasSouthernBound                             ,    299
 cpmeta,hasNorthernBound                             ,    299
 cpmeta,hasEasternBound                              ,    299
 rdfs,range                                            ,    295
 rdf,_9                                         ,    285
 rdfs,domain                                           ,    279
 cpstation,hasLongName                            ,    261
 cpmeta,hasQuantityKind                              ,    260
 cpmeta,hasUnit                                      ,    249
 cpstation,hasShortName                           ,    244
 cpmeta,hasMeanAnnualPrecip                          ,    241
 cpmeta,hasMeanAnnualTemp                            ,    241
 rdf,rest                                       ,    236
 rdf,first                                      ,    236
 cpstation,hasEmail                               ,    230
 cpstation,hasFirstName                           ,    230
 cpstation,hasLastName                            ,    230
 cpmeta,country                                      ,    224
 cpmeta,hasCoverImage                                ,    221
 cpstation,hasCountry                             ,    217
 cpmeta,isOptionalColumn                             ,    211
 cpstation,hasPi                                  ,    209
 cpmeta,hasLinkbox                                   ,    193
 cpstation,hasSiteType                            ,    188
 cpstation,hasStationClass                        ,    188
 cpmeta,hasOrderWeight                               ,    184
 cpmeta,hasWebpageLink                               ,    182
 cpmeta,hasDataTheme                                 ,    181
 cpstation,hasStationKind                         ,    179
 cpstation,hasElevationAboveSea                   ,    179
 cpmeta,hasSpecificDatasetType                       ,    178
 cpstation,hasAppStatusDate                       ,    178
 cpmeta,hasEncoding                                  ,    178
 cpstation,hasApplicationStatus                   ,    178
 cpmeta,hasAssociatedProject                         ,    178
 cpmeta,hasFormat                                    ,    178
 cpmeta,hasDataLevel                                 ,    178
 cpstation,labelingJoinYear                       ,    173
 cpmeta,hasStationClass                              ,    172
 cpstation,hasProductionCounterpart               ,    166
 cpstation,hasAffiliation                         ,    166
 dcat,contactPoint                                                ,    158
 http,//www.w3.org/2006/vcard/ns#fn                                                    ,    158
 terms,spatial                                                      ,    158
 rdfs,subClassOf                                       ,    158
 http,//www.w3.org/ns/locn#geometry                                                    ,    156
 http,//www.w3.org/2006/vcard/ns#hasEmail                                              ,    154
 terms,subject                                                      ,    153
 terms,identifier                                                   ,    153
 cpstation,hasElevationAboveGround                ,    153
 terms,isPartOf                                                     ,    153
 cpmeta,isRegexColumn                                ,    147
 otcmeta,device                                      ,    143
 cpstation,hasOperationalDateEstimate             ,    135
 rdfs,subPropertyOf                                    ,    134
 cpmeta,hasDepiction                                 ,    131
 cpstation,isAlreadyOperational                   ,    129
 http,//www.w3.org/2004/02/skos/core#prefLabel                                         ,    127
 http,//www.w3.org/2004/02/skos/core#altLabel                                          ,    127
 cpstation,hasPreIcosMeasurements                 ,    119
 otcmeta,atOrganization                              ,    116
 otcmeta,hasRole                                     ,    116
 otcmeta,hasHolder                                   ,    116
 cpmeta,hasClimateZone                               ,    115
 cpmeta,hasResponsibleOrganization                   ,    114
 cpstation,hasEddyHeight                          ,    111
 cpstation,hasFundingForOperation                 ,    110
 cpmeta,hasFunder                                    ,    109
 cpmeta,containsDataset                              ,    109
 cpmeta,hasFunding                                   ,    108
 cpstation,hasFundingForConstruction              ,    107
 cpmeta,hasDocumentationObject                       ,    106
 cpstation,hasAnemometerDirection                 ,    105
 owl,onProperty                                              ,     97
 cpstation,hasAppStatusComment                    ,     95
 cpmeta,operatesOn                                   ,     93
 cpstation,hasMainPersonnelNamesList              ,     92
 otcmeta,ofSensor                                    ,     91
 cpmeta,hasEndDate                                   ,     89
 cpmeta,hasStartDate                                 ,     89
 cpmeta,awardTitle                                   ,     82
 owl,someValuesFrom                                          ,     82
 otcmeta,toInstrument                                ,     80
 cpmeta,hasVariable                                  ,     77
 cpmeta,hasVariableTitle                             ,     76
 cpstation,hasPhone                               ,     76
 cpmeta,hasLabelingDate                              ,     71
 cpmeta,awardNumber                                  ,     66
 cpmeta,hasMeanAnnualRadiation                       ,     66
 otcmeta,hasLastName                                 ,     65
 otcmeta,hasFirstName                                ,     65
 cpstation,step2StartDate                         ,     63
 cpstation,hasAddress                             ,     63
 cpstation,hasExistingInfrastructure              ,     63
 otcmeta,countryCode                                 ,     63
 cpstation,hasTelecom                             ,     61
 cpstation,hasVegetation                          ,     61
 cpstation,hasResponsibleInstitutionName          ,     61
 cpstation,hasAnthropogenics                      ,     61
 cpstation,hasWindDataInEuropeanDatabase          ,     60
 cpstation,hasAccessibility                       ,     59
 cpstation,hasNameListOfNetworksItBelongsTo       ,     59
 cpstation,hasWebsite                             ,     59
 otcmeta,hasModelName                                ,     58
 otcmeta,hasManufacturer                             ,     58
 cpmeta,isOptionalVariable                           ,     57
 otcmeta,hasAttributionWeight                        ,     56
 cpmeta,hasWigosId                                   ,     54
 cpmeta,isQualityFlagFor                             ,     53
 cpstation,hasDeputyPi                            ,     50
 cpmeta,hasAssociatedPublication                     ,     48
 otcmeta,toPlatform                                  ,     44
 cpstation,step1EndDate                           ,     43
 owl,unionOf                                                 ,     43
 http,//www.w3.org/2004/02/skos/core#exactMatch                                        ,     41
 otcmeta,hasEmail                                    ,     40
 otcmeta,ofInstrument                                ,     38
 cpstation,hasLocationDescription                 ,     37
 cpmeta,hasWebpageElements                           ,     36
 otcmeta,hasOrcidId                                  ,     33
 cpstation,step2EndDate                           ,     32
 cpstation,hasPlatformType                        ,     30
 cpstation,hasTypeOfSampling                      ,     30
 cpstation,hasVesselOwner                         ,     30
 cpmeta,awardURI                                     ,     28
 otcmeta,hasStartTime                                ,     28
 cpstation,hasUnderwayCo2SensorManufacturer       ,     28
 cpstation,hasUnderwayCo2SensorModel              ,     28
 cpstation,hasUnderwayOtherSensorManufacturer     ,     26
 cpstation,hasUnderwayEquilibratorType            ,     26
 cpstation,hasUnderwayOtherSensorModel            ,     26
 cpstation,labelingEndDate                        ,     25
 otcmeta,hasIcesPlatformCode                         ,     25
 otcmeta,ofPlatform                                  ,     23
 cpstation,hasUnderwayAdditionalInfo              ,     23
 otcmeta,toStation                                   ,     23
 rdf,_10                                        ,     22
 owl,onDatatype                                              ,     22
 owl,withRestrictions                                        ,     22
 otcmeta,hasStationId                                ,     21
 otcmeta,hasStationClass                             ,     21
 cpstation,step1StartDate                         ,     21
 otcmeta,hasResponsibleOrg                           ,     20
 cpstation,hasTcId                                ,     20
 otcmeta,hasPersonTitle                              ,     20
 cpstation,hasUnderwayMethodReferences            ,     19
 otcmeta,hasEndTime                                  ,     17
 otcmeta,hasOwner                                    ,     17
 otcmeta,measuresVariable                            ,     16
 owl,oneOf                                                   ,     14
 xsd,maxInclusive                                         ,     14
 xsd,minInclusive                                         ,     14
 cpstation,hasSpatialReference                    ,     14
 otcmeta,hasSpatialReference                         ,     14
 otcmeta,hasVariableOrigin                           ,     13
 cpmeta,hasGoodFlagValue                             ,     13
 otcmeta,hasGeoRegion                                ,     12
 cpstation,hasDiscreteAlkalinityMethodReferences  ,     10
 cpstation,hasDescription                         ,     10
 cpmeta,hasOperationalPeriod                         ,     10
 cpsites,hasResponsibleOrganization                ,     10
 cpmeta,isDiscontinued                               ,     10
 rdf,_11                                        ,     10
 cpstation,hasDiscreteAlkalinityTitrationType     ,      9
 cpmeta,hasIcon                                      ,      9
 otcmeta,measuresSkos                                ,      9
 cpstation,hasNrtDataDeliveryMethod               ,      8
 cpstation,hasDiscreteAlkalinityCurveFitting      ,      8
 owl,allValuesFrom                                           ,      8
 otcmeta,hasLatitude                                 ,      7
 otcmeta,hasLongitude                                ,      7
 otcmeta,hasDate                                     ,      7
 cpstation,hasDiscreteTco2AnalysisMethod          ,      7
 cpstation,hasEasternmostLon                      ,      7
 rdf,_17                                        ,      7
 cpmeta,hasExtraRoleInfo                             ,      7
 otcmeta,appliedToSensor                             ,      7
 cpstation,hasConstructionStartDate               ,      7
 xsd,pattern                                              ,      7
 otcmeta,waterIntakeDepth                            ,      7
 cpstation,hasSouthernmostLat                     ,      7
 cpstation,hasNrtDataUpdateFrequency              ,      7
 cpstation,hasNothernmostLat                      ,      7
 rdf,_12                                        ,      7
 rdf,_13                                        ,      7
 rdf,_14                                        ,      7
 rdf,_15                                        ,      7
 rdf,_16                                        ,      7
 cpstation,hasWesternmostLon                      ,      6
 otcmeta,hasLabelingDate                             ,      6
 cpstation,hasDiscreteTco2StandardizationTechnique,      6
 cpstation,hasDiscreteAdditionalInfo              ,      6
 rdf,_20                                        ,      5
 rdf,_18                                        ,      5
 rdf,_19                                        ,      5
 rdf,_21                                        ,      5
 rdf,_22                                        ,      5
 cpstation,hasDiscreteTco2TechniqueDescription    ,      5
 cpstation,hasDiscreteTco2MethodReferences        ,      5
 owl,disjointWith                                            ,      5
 owl,onClass                                                 ,      4
 owl,equivalentClass                                         ,      4
 cpmeta,hasHideFromSearchPolicy                      ,      4
 cpmeta,hasDocumentationUri                          ,      4
 cpmeta,hasMarkerIcon                                ,      4
 cpstation,hasDiscretePhScale                     ,      4
 cpstation,hasDiscretePhMethodReferences          ,      4
 cpstation,hasDiscretePhAnalysisMethod            ,      4
 cpstation,hasConstructionEndDate                 ,      4
 cpstation,hasImageLink                           ,      3
 owl,qualifiedCardinality                                    ,      3
 cpstation,hasDiscretePco2MethodReferences        ,      3
 cpstation,hasDiscretePco2AnalysisMethod          ,      3
 otcmeta,awardNumber                                 ,      3
 owl,maxQualifiedCardinality                                 ,      3
 owl,intersectionOf                                          ,      3
 cpstation,hasDiscretePco2Analysis                ,      3
 otcmeta,awardTitle                                  ,      3
 otcmeta,hasFunder                                   ,      3
 cpmeta,impliesDefaultLicence                        ,      3
 otcmeta,hasPortOfCall                               ,      3
 otcmeta,hasDeploymentSchedule                       ,      2
 rdf,_25                                        ,      2
 rdf,_24                                        ,      2
 rdf,_23                                        ,      2
 otcmeta,hasUnit                                     ,      2
 owl,disjointUnionOf                                         ,      2
 owl,onDataRange                                             ,      2
 otcmeta,hasSerialNumber                             ,      2
 otcmeta,hasSamplingFrequency                        ,      2
 otcmeta,hasPicture                                  ,      2
 otcmeta,hasMiddleName                               ,      2
 otcmeta,hasFunding                                  ,      2
 otcmeta,hasDocumentationComment                     ,      2
 rdf,_26                                        ,      2
 rdf,_27                                        ,      2
 rdf,_28                                        ,      2
 rdf,_29                                        ,      2
 otcmeta,hasResolution                               ,      1
 purl-elements,/title                                                 ,      1
 rdf,_32                                        ,      1
 owl,versionInfo                                             ,      1
 cpmeta,hasSkipStoragePolicy                         ,      1
 purl-elements,/creator                                               ,      1
 purl-elements,/description                                           ,      1
 purl-elements,/issued                                                ,      1
 cpmeta,hasSkipPidMintingPolicy                      ,      1
 cpstation,hasDiscreteAlkalinityOtherTitration    ,      1
 otcmeta,hasDocumentationReference                   ,      1
 rdf,_31                                        ,      1
 otcmeta,hasDiscreteSamplingSchedule                 ,      1
 rdf,_30                                        ,      1
 otcmeta,hasDateTime                                 ,      1
 purl-elements,/modified                                              ,      1
 otcmeta,awardURI                                    ,      1
 creativecommons,#license                                                 ,      1
 dcat,mediaType                                                   ,      1
 pred                                                                                  ,,      1
 owl,cardinality                                             ,      1
 owl,imports                                                 ,      1
 cpstation,labelingProgressDate                   ,      1
 purl-vann,preferredNamespacePrefix                                   ,      1
 purl-vann,preferredNamespaceUri                                      ,      1
 purl-elements,/rights                                                ,      1
 otcmeta,hasUncertainty                              ,      1
 purl-elements,/publisher                                             ,      1
 otcmeta,airIntakePosition                           ,      1
 xsd,length                                               ,      1
