or_organization_code,or_name,or_acronym,na_nation_code,or_address_1,or_address_2,or_address_3,or_website
160,Global Change Research Institute,GCRI,CZ,"Bělidla 986/4a, 603 00 Brno","Kramolín 25, Křešín 395 01",NULL,https://www.czechglobe.cz/en/
164,Aarhus University,AU,DK,NULL,NULL,NULL,https://www.au.dk
165,Observatoire de Physique de l'Atmosphère de la Réunion,OPAR,FR,NULL,NULL,NULL,https://opar.univ-reunion.fr
166,Agence nationale pour la gestion des déchets radioactifs,Andra,FR,NULL,NULL,NULL,https://www.andra.fr
167,University of East Anglia,UEA,GB,NULL,NULL,NULL,https://www.uea.ac.uk
168,"Institute for Atmospheric and Earth System Research / Physics, Faculty of Sciences, University of Helsinki",INAR,FI,NULL,NULL,NULL,https://www.helsinki.fi/en/faculty-of-science/faculty/institute-for-atmospheric-and-earth-system-research-inar
169,Rijksuniversiteit Groningen,RUG,NL,NULL,NULL,NULL,https://www.rug.nl
170,"Centre for Environmental and Climate Research, Lund University",CEC,SE,NULL,NULL,NULL,https://www.cec.lu.se
171,European Commission Joint Research Centre,JRC,XX,NULL,NULL,NULL,https://ec.europa.eu/jrc/en/about/jrc-site/ispra
172,Netherlands Organisation of Applied Scientific Research,TNO,NL,NULL,NULL,NULL,https://www.tno.nl
173,International Foundation High Altitude Research Stations Jungfraujoch and Gornergrat,HFSJG,CH,NULL,NULL,NULL,https://www.ifjungo.ch
174,Commissariat à l'énergie atomique et aux énergies alternatives,CEA,FR,NULL,NULL,NULL,https://www.cea.fr
175,"Forest Ecology and Management, SLU Umeå",SLU,SE,NULL,NULL,NULL,https://www.slu.se/en/departments/forest-ecology-management
